<;2277567;2013-04-20 01:36:43.364000;Hola

<;2277567;2013-04-20 01:36:44.379000;Alo?

>;2277567;2013-04-20 01:36:45.384000;Como va?

<;2277567;2013-04-20 01:36:46.387000;Bien y tu?

>;2277567;2013-04-22 01:34:58.787000;Como va?

<;2277567;2013-04-22 01:34:59.789000;Bien y tu?
>;2277567;2013-04-22 02:24:18.380000;Como va?

>;2277567;2013-04-22 02:31:48.575000;Como va?

<;2277567;2013-04-22 02:31:49.600000;Bien y tu?
>;2277567;2013-04-22 02:35:08.926000;Como va?

<;2277567;2013-04-22 02:35:09.929000;Bien y tu?
>;2277567;2013-04-22 02:36:44.238000;Como va?

<;2277567;2013-04-22 02:36:45.240000;Bien y tu?
>;2277567;2013-04-22 02:40:00.238000;Como va?

<;2277567;2013-04-22 02:40:01.240000;Bien y tu?
>;2277567;2013-04-22 02:45:44.538000;Como va?

<;2277567;2013-04-22 02:45:45.540000;Bien y tu?
>;2277567;2013-04-22 02:46:03.438000;Como va?

<;2277567;2013-04-22 02:46:04.440000;Bien y tu?
>;2277567;2013-04-22 02:54:16.827000;Como va?

<;2277567;2013-04-22 02:54:17.828000;Bien y tu?
>;2277567;2013-04-22 02:55:02.692000;Como va?

<;2277567;2013-04-22 02:55:03.693000;Bien y tu?
>;2277567;2013-04-22 03:06:22.435000;Como va?

<;2277567;2013-04-22 03:06:23.436000;Bien y tu?
>;2277567;2013-04-22 03:09:58.175000;Como va?

<;2277567;2013-04-22 03:09:59.176000;Bien y tu?
>;2277567;2013-04-22 03:10:45.646000;Como va?

<;2277567;2013-04-22 03:10:46.648000;Bien y tu?
>;2277567;2013-04-22 03:12:19.642000;Como va?

<;2277567;2013-04-22 03:12:20.643000;Bien y tu?
>;2277567;2013-04-22 03:13:06.661000;Como va?

<;2277567;2013-04-22 03:13:07.663000;Bien y tu?
>;0000000;2013-04-22 03:13:11.667000;0000000000
>;0000000;2013-04-22 03:13:27.697000;0000000000
>;0000000;2013-04-22 03:13:37.701000;000000000000000000000000000
>;0000000;2013-04-22 03:13:56.725000;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111111111111
